File	#Seq	Total bp	Avg	N50	N75	N90	auN	Min	Max
data/homopolymer.fq	1	31	31.00	31	31	31	31.00	31	31
data/illumina_nocomm.fq	7	630	90.00	90	90	90	90.00	90	90
data/its.fq	8	2016	252.00	253	251	251	266.00	107	301
data/multiline.fq	2	24	12.00	14	10	10	12.33	10	14
data/qualities.fq	5	261	52.20	46	41	39	60.67	39	94
data/16S_coli.fa	1	1542	1542.00	1542	1542	1542	1542.00	1542	1542
data/adapters.fa	32	1438	44.94	51	34	25	55.74	21	119
data/base.fa	1	2	2.00	2	2	2	2.00	2	2
data/base_a.fa	1	5	5.00	5	5	5	5.00	5	5
data/base_at.fa	1	33	33.00	33	33	33	33.00	33	33
data/base_c.fa	1	5	5.00	5	5	5	5.00	5	5
data/base_cg.fa	1	25	25.00	25	25	25	25.00	25	25
data/base_extra.fa	1	20	20.00	20	20	20	20.00	20	20
data/base_g.fa	1	1	1.00	1	1	1	1.00	1	1
data/base_t.fa	1	5	5.00	5	5	5	5.00	5	5
data/bases_lower.fa	1	15	15.00	15	15	15	15.00	15	15
data/clonal.fa	4	28	7.00	7	7	7	7.00	7	7
data/codons.fa	1	9	9.00	9	9	9	9.00	9	9
data/comm.fa	5	1226	245.20	249	246	230	245.45	230	251
data/comments.fasta	4	128	32.00	65	32	21	45.23	10	65
data/comments.fastq	5	190	38.00	38	38	38	38.00	38	38
data/compressed.fasta.gz	3	118	39.33	65	32	21	48.22	21	65
data/compressed.fastq.dsrc	1	1	1.00	1	1	1	1.00	1	1
data/compressed.fastq.gz	3	114	38.00	38	38	38	38.00	38	38
data/ctgs.fa.gz	40	34563	864.08	1522	513	397	2547.14	208	7585
data/dataset.fastq.gz	1250	313750	251.00	251	251	251	251.00	251	251
data/filt.fa.gz	78730	24299931	308.65	316	316	220	318.44	180	485
data/homopolymer.fa	1	32	32.00	32	32	32	32.00	32	32
data/long-fasta.fa	4	1621	405.25	671	671	140	579.52	139	671
data/mcr1.fa	1	1626	1626.00	1626	1626	1626	1626.00	1626	1626
data/mini.fa	3	30	10.00	10	10	10	10.00	10	10
data/more_comments.fa	3	2905	968.33	1122	1122	454	1112.30	454	1329
data/msa-prot.faa	24	15168	632.00	632	632	632	632.00	632	632
data/msa.fa	20	6260	313.00	313	313	313	313.00	313	313
data/msa.faa	5	305	61.00	61	61	61	61.00	61	61
data/nano-tag.fa	4	172	43.00	45	45	31	44.26	31	51
data/nanopore.fastq.gz	10	33862	3386.20	9117	5769	1944	7569.64	251	11224
data/numbers.fa	1000	7000	7.00	7	7	7	7.00	7	7
data/old_sanger.fastq	3	325	108.33	127	127	66	116.64	66	132
data/orf.fa.gz	2	4884	2442.00	2442	2442	2442	2442.00	2442	2442
data/prot.faa	20	1550	77.50	73	63	63	96.20	58	239
data/prot2.faa	4	404	101.00	239	79	75	171.06	11	239
data/query.fa	3	192	64.00	69	52	52	65.14	52	71
data/rc.fa	1	12	12.00	12	12	12	12.00	12	12
data/sample1.faa	132	37739	285.90	404	230	149	472.73	41	1152
data/sample2.faa	134	37965	283.32	404	228	149	471.73	41	1152
data/sample3.faa	130	36935	284.12	412	224	145	471.70	41	1143
data/sample4.faa	118	32725	277.33	412	212	147	466.45	41	1152
data/seq.fa	1	3125	3125.00	3125	3125	3125	3125.00	3125	3125
data/sort.fa	5	52	10.40	17	10	4	13.65	4	17
data/target.fa	1	1542	1542.00	1542	1542	1542	1542.00	1542	1542
data/test.fa	12	2897	241.42	249	230	230	241.81	230	251
data/test.fasta	3	118	39.33	65	32	21	48.22	21	65
data/test.fastq	3	114	38.00	38	38	38	38.00	38	38
data/test2.fastq	3	114	38.00	38	38	38	38.00	38	38
data/test_4.fa.gz	32	3300	103.13	189	168	168	192.46	4	256
data/upper-lower.fa	1	10	10.00	10	10	10	10.00	10	10
data/upper-none.fa	1	7	7.00	7	7	7	7.00	7	7
data/upper-only.fa	1	9	9.00	9	9	9	9.00	9	9
