Sample	col1	col2	col3	col4	col5	col6	col7	col8
data/compressed.fasta.gz	3.0	118.0	39.3	65.0	32.0	21.0	21.0	65.0
data/compressed.fastq.gz	3.0	114.0	38.0	38.0	38.0	38.0	38.0	38.0
data/dataset.fastq.gz	1250.0	313750.0	251.0	251.0	251.0	251.0	251.0	251.0
data/filt.fa.gz	78730.0	24299931.0	308.6	316.0	316.0	220.0	180.0	485.0
data/illumina_1.fq.gz	7.0	630.0	90.0	90.0	90.0	90.0	90.0	90.0
data/illumina_2.fq.gz	7.0	630.0	90.0	90.0	90.0	90.0	90.0	90.0
data/interleaved.fq.gz	14.0	1260.0	90.0	90.0	90.0	90.0	90.0	90.0
data/longerone_R1.fq.gz	7.0	630.0	90.0	90.0	90.0	90.0	90.0	90.0
data/longerone_R2.fq.gz	2.0	180.0	90.0	90.0	90.0	90.0	90.0	90.0
data/longertwo_R1.fq.gz	2.0	180.0	90.0	90.0	90.0	90.0	90.0	90.0
data/longertwo_R2.fq.gz	7.0	630.0	90.0	90.0	90.0	90.0	90.0	90.0
data/test_4.fa.gz	32.0	3300.0	103.1	189.0	168.0	168.0	4.0	256.0
